potID,plot,daynr,year,temperature,precipitation,wind.speed,frostdays,sum.precW,nHerbs,nTrees,Nitrogen,pH,Moisture,Light,ellenTemperature,Arable.land,Forest,Grassland,Water
1,SLL1,186,2011,18.75917236,0,1.44562033,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,187,2011,19.04068413,0.725106208,3.108698019,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,188,2011,19.41714752,0.030743277,2.411155413,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,189,2011,19.17006659,0.452579447,3.608562951,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,190,2011,18.66064375,0.663213383,3.527091313,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,191,2011,18.53820504,0,1.77444043,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,192,2011,19.31022183,0,1.622353126,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,193,2011,21.32024832,4.518715032,2.701889563,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,194,2011,14.47939289,2.060506107,3.407155635,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,195,2011,13.52692293,9.484688661,6.735228818,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,196,2011,17.0088687,0.103691387,4.223792791,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,197,2011,18.64699239,20.95645847,3.875248412,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,198,2011,17.19123279,0.402538139,4.515519318,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,199,2011,16.45761549,0,4.766967784,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,200,2011,17.48608269,0.40266787,2.284974305,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,201,2011,17.22523273,1.605671219,2.090274444,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,202,2011,16.70572154,4.973547928,2.208559491,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,203,2011,14.97469795,0,3.90641408,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,204,2011,13.66871218,12.07771023,4.541563186,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,205,2011,11.89366325,16.42297716,4.618387073,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,206,2011,15.66303916,0.977471324,1.988536815,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,207,2011,15.59429122,2.22718923,1.481841751,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
1,SLL1,208,2011,16.99238554,15.34801176,1.339899361,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
2,SLL1,209,2011,18.40216733,0.159943883,1.562700588,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
2,SLL1,210,2011,16.5075575,0.059597978,3.0050745,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
2,SLL1,211,2011,14.6735127,0.20639073,3.362166969,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
2,SLL1,212,2011,14.96003945,0,2.109313121,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
2,SLL1,213,2011,17.74507412,0,1.591895895,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
2,SLL1,214,2011,22.64561531,0.015104366,2.327975679,39,293.3614156,41,0,5.68,5.19,5.05,7.38,5.26,0.490641308,0.208590119,0.132709252,0.013138039
